item	phase	start	end	duration (h:m)	
0	sk	03/20 20:54	03/20 21:51	0:56	
		03/20 22:26	03/20 22:43	0:16	
		03/21 23:10	03/21 23:48	0:38	
	3d	03/21 02:27	03/21 02:48	0:20	
		03/21 20:29	03/21 21:02	0:32	
		03/21 21:29	03/21 21:44	0:15	
	plan	03/23 23:07	03/23 23:09	0:02	
1	sk	03/22 00:31	03/22 00:50	0:19	
		03/22 17:04	03/22 17:29	0:25	0:44
		03/23 16:39	03/23 17:14	0:35	
		03/23 17:48	03/23 18:05	0:17	
2	sk	03/22 21:58	03/22 22:32	0:34	
3	sk	03/23 00:05	03/23 00:48	0:43	
		03/23 18:06	03/23 18:09	0:03	
4	sk	03/23 22:37	03/23 22:55	0:18	
5	sk	03/23 22:55	03/23 23:07	0:11	
